County,Dist,District,aid_18_19,aid_19_20,aid_change,Aid Percent Difference,aid_change_perc
Atlantic,10.0,Absecon City,3063939.0,3353912.0,289973.0,0.09464,9.464
Atlantic,110.0,Atlantic City,29044104.0,40437510.0,11393406.0,0.3923,39.23
Atlantic,120.0,Atlantic Co Vocational,8687418.0,10198583.0,1511165.0,0.1739,17.39
Atlantic,570.0,Brigantine City,2195236.0,2052562.0,-142674.0,-0.06499,-6.499
Atlantic,590.0,Buena Regional,19336095.0,19136836.0,-199259.0,-0.01031,-1.031
Atlantic,960.0,Corbin City,672175.0,638000.0,-34175.0,-0.05084,-5.084
Atlantic,1300.0,Egg Harbor City,5566281.0,5932228.0,365947.0,0.06574,6.574
Atlantic,1310.0,Egg Harbor Twp,43930259.0,48158989.0,4228730.0,0.09626,9.626
Atlantic,1410.0,Estell Manor City,2162260.0,1937980.0,-224280.0,-0.1037,-10.37
Atlantic,1540.0,Folsom Boro,5869132.0,6096776.0,227644.0,0.03879,3.879
Atlantic,1690.0,Galloway Twp,24609074.0,25360351.0,751277.0,0.03053,3.053
Atlantic,1790.0,Greater Egg Harbor Reg,32137553.0,32571829.0,434276.0,0.01351,1.351
Atlantic,1940.0,Hamilton Twp,24337190.0,24858638.0,521448.0,0.02143,2.143
Atlantic,1960.0,Hammonton Town,19310631.0,20860100.0,1549469.0,0.08024,8.024
Atlantic,2680.0,Linwood City,1505899.0,1422843.0,-83056.0,-0.05515,-5.515
Atlantic,2780.0,Longport,89130.0,87130.0,-2000.0,-0.02244,-2.244
Atlantic,2910.0,Mainland Regional,7900944.0,7900510.0,-434.0,-5.5e-05,-0.0055
Atlantic,3020.0,Margate City,535848.0,531278.0,-4570.0,-0.008529,-0.8529
Atlantic,3480.0,Mullica Twp,5481097.0,5481097.0,0.0,0.0,0.0
Atlantic,3720.0,Northfield City,4075335.0,4191339.0,116004.0,0.02846,2.846
Atlantic,4180.0,Pleasantville City,64048801.0,64631580.0,582779.0,0.009099,0.9099
Atlantic,4240.0,Port Republic City,1072547.0,1059903.0,-12644.0,-0.01179,-1.179
Atlantic,4800.0,Somers Point City,5816797.0,5790495.0,-26302.0,-0.004522,-0.4522
